Region,Country,ItemType,SalesChannel,OrderPriority,OrderDate,OrderID,ShipDate,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Appsloveworld allows developers to download a sample xlsx or xls file with a large dummy data for testing purposes.,South Africa,Fruits,Offline,M,7/27/2012,443368995,7/28/2012,1593,9.33,6.92,14862.69,11023.56,3839.13
,Morocco,Clothes,Online,M,9/14/2013,667593514,10/19/2013,4611,109.28,35.84,503890.08,165258.24,338631.84
Always check your Software in the “worst-case” to get an understanding of its real-time performance. ,Papua New Guinea,Meat,Offline,M,5/15/2015,940995585,06-04-2015,360,421.89,364.69,151880.4,131288.4,20592
We have listed good quality dummy raw data for testing purposes.,Djibouti,Clothes,Offline,H,5/17/2017,880811536,07-02-2017,562,109.28,35.84,61415.36,20142.08,41273.28
Just click the download button and start playing with an xlsx or xls file.,Slovakia,Beverages,Offline,L,10/26/2016,174590194,12-04-2016,3973,47.45,31.79,188518.85,126301.67,62217.18
Asia,Sri Lanka,Fruits,Online,L,11-07-2011,830192887,12/18/2011,1379,9.33,6.92,12866.07,9542.68,3323.39
Sub-Saharan Africa,Seychelles ,Beverages,Online,M,1/18/2013,425793445,2/16/2013,597,47.45,31.79,28327.65,18978.63,9349.02
Sub-Saharan Africa,Tanzania,Beverages,Online,L,11/30/2016,659878194,1/16/2017,1476,47.45,31.79,70036.2,46922.04,23114.16
Sub-Saharan Africa,Ghana,Office Supplies,Online,L,3/23/2017,601245963,4/15/2017,896,651.21,524.96,583484.16,470364.16,113120
Sub-Saharan Africa,Tanzania,Cosmetics,Offline,L,5/23/2016,739008080,5/24/2016,7768,437.2,263.33,3396169.6,2045547.44,1350622.16
Asia,Taiwan,Fruits,Offline,M,02-09-2014,732588374,2/23/2014,8034,9.33,6.92,74957.22,55595.28,19361.94
Middle East and North Africa,Algeria,Cosmetics,Online,M,2/18/2011,761723172,2/24/2011,9669,437.2,263.33,4227286.8,2546137.77,1681149.03
Asia,Singapore,Snacks,Online,C,1/28/2013,176461303,02-07-2013,7676,152.58,97.44,1171204.08,747949.44,423254.64
Australia and Oceania,Papua New Guinea,Clothes,Offline,L,6/20/2011,647164094,7/14/2011,9092,109.28,35.84,993573.76,325857.28,667716.48
Asia,Vietnam,Personal Care,Online,M,04-04-2010,314505374,05-06-2010,7984,81.73,56.67,652532.32,452453.28,200079.04
Sub-Saharan Africa,Uganda,Personal Care,Online,M,6/19/2014,539471471,7/21/2014,451,81.73,56.67,36860.23,25558.17,11302.06
Sub-Saharan Africa,Zimbabwe,Office Supplies,Offline,C,3/28/2011,953361213,04-08-2011,9623,651.21,524.96,6266593.83,5051690.08,1214903.75
Sub-Saharan Africa,Ethiopia,Cosmetics,Online,M,07-07-2011,807785928,7/25/2011,662,437.2,263.33,289426.4,174324.46,115101.94
Europe,France,Cosmetics,Online,M,12-07-2015,324669444,1/18/2016,5758,437.2,263.33,2517397.6,1516254.14,1001143.46
Central America and the Caribbean,The Bahamas,Personal Care,Online,C,1/19/2011,246248090,2/21/2011,9137,81.73,60.7,746767.01,517793.79,228973.22
Central America and the Caribbean,Haiti,Office Supplies,Online,C,12/31/2010,485070693,1/31/2011,2052,651.21,500.12,1336282.92,1077217.92,259065
Central America and the Caribbean,Nicaragua,Household,Online,C,10/28/2015,573998582,12-07-2015,7791,668.27,520.21,5206491.57,3915289.14,1291202.43
Asia,Turkmenistan,Vegetables,Online,M,4/13/2015,116205585,06-02-2015,6670,154.06,124.01,1027580.2,606503.1,421077.1
Europe,United Kingdom,Cosmetics,Online,L,05-01-2015,135178029,5/16/2015,1038,437.2,400.15,453813.6,273336.54,180477.06
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,H,8/25/2011,824714744,9/24/2011,274,255.28,254.12,69946.72,43681.08,26265.64
